sem_internet_cat,respostas,media,obs
"0-9%",70.27027,9,74
"10-19%",17.56757,9,74
"20-29%",2.702703,9,74
"30-39%",2.702703,9,74
"50-59%",1.351351,9,74
"60-69%",2.702703,9,74
"90-100%",2.702703,9,74
