percentagem,obs,estrategia
30.26482,1586,"Aulas por videoconferência"
12.10593,1586,"Envio de vídeos gravados pelo(a) próprio(a)"
84.55233,1586,"Envio de materiais complementares ao estudo"
38.33543,1586,"Envio de conteúdos preparados por terceiros"
74.21185,1586,"Esclarecimento de dúvidas dos alunos durante o seu estudo em casa"
1.702396,1586,"Nada"
2.332913,1586,"Contacto telefónico"
3.404792,1586,"Contacto via plataformas online"
6.935687,1586,"Outras estratégias"
