percentagem,obs,avaliacao
67.93954,1257,"Trabalhos de casa"
17.02466,1257,"Testes"
24.58234,1257,"Tarefas/exercícios propostos por terceiros"
8.989658,1257,"Assiduidade em aulas por videoconferência"
13.52426,1257,"Participação em aulas por videoconferência"
22.91169,1257,"Outras estratégias"
21.3206,1257,"Nenhum elemento de avaliação"
