sem_internet_cat,respostas,media,obs
"0-9%",20.37736,31,265
"10-19%",9.811321,31,265
"20-29%",23.39623,31,265
"30-39%",10.9434,31,265
"40-49%",7.169811,31,265
"50-59%",11.69811,31,265
"60-69%",3.396226,31,265
"70-79%",5.283019,31,265
"80-89%",4.150943,31,265
"90-100%",3.773585,31,265
