sem_internet_cat,respostas,media,obs
"0-9%",69.14894,10,94
"10-19%",18.08511,10,94
"20-29%",4.255319,10,94
"30-39%",1.06383,10,94
"50-59%",1.06383,10,94
"60-69%",1.06383,10,94
"90-100%",5.319149,10,94
