sem_internet_cat,respostas,media,obs
"0-9%",15.29412,29,255
"10-19%",19.21569,29,255
"20-29%",16.47059,29,255
"30-39%",15.68627,29,255
"40-49%",10.98039,29,255
"50-59%",9.019608,29,255
"60-69%",4.705882,29,255
"70-79%",4.313725,29,255
"80-89%",2.352941,29,255
"90-100%",1.960784,29,255
