sem_internet_cat,respostas,media,obs
"0-9%",44.70588,18,170
"10-19%",24.70588,18,170
"20-29%",12.35294,18,170
"30-39%",2.941176,18,170
"40-49%",2.941176,18,170
"50-59%",2.941176,18,170
"60-69%",1.176471,18,170
"70-79%",2.941176,18,170
"80-89%",1.176471,18,170
"90-100%",4.117647,18,170
