sem_internet_cat,respostas,media,obs
"0-9%",20.58212,25,481
"10-19%",23.07692,25,481
"20-29%",22.86902,25,481
"30-39%",10.60291,25,481
"40-49%",5.821206,25,481
"50-59%",6.237006,25,481
"60-69%",2.702703,25,481
"70-79%",3.534304,25,481
"80-89%",2.494802,25,481
"90-100%",2.079002,25,481
