sem_internet_cat,respostas,media,obs
"0-9%",29.79592,23,1470
"10-19%",20.47619,23,1470
"20-29%",17.95918,23,1470
"30-39%",9.387755,23,1470
"40-49%",5.646259,23,1470
"50-59%",5.986395,23,1470
"60-69%",2.585034,23,1470
"70-79%",3.129252,23,1470
"80-89%",2.176871,23,1470
"90-100%",2.857143,23,1470
