percentagem,obs,estrategia
21.71838,1257,"Aulas por videoconferência"
8.194113,1257,"Envio de vídeos gravados pelo(a) próprio(a)"
85.12331,1257,"Envio de materiais complementares ao estudo"
38.18616,1257,"Envio de conteúdos preparados por terceiros"
73.82657,1257,"Esclarecimento de dúvidas dos alunos durante o seu estudo em casa"
1.988862,1257,"Nada"
2.704853,1257,"Contacto telefónico"
4.057279,1257,"Contacto via plataformas online"
7.08035,1257,"Outras estratégias"
