percentagem,obs,avaliacao
81.76292,329,"Trabalhos de casa"
28.57143,329,"Testes"
27.05167,329,"Tarefas/exercícios propostos por terceiros"
32.82675,329,"Assiduidade em aulas por videoconferência"
38.60182,329,"Participação em aulas por videoconferência"
21.8845,329,"Outras estratégias"
9.118541,329,"Nenhum elemento de avaliação"
