sem_internet_cat,respostas,media,obs
"0-9%",31.83962,18,424
"10-19%",27.35849,18,424
"20-29%",18.86792,18,424
"30-39%",8.726415,18,424
"40-49%",4.481132,18,424
"50-59%",3.301887,18,424
"60-69%",.9433962,18,424
"70-79%",1.179245,18,424
"80-89%",1.886792,18,424
"90-100%",1.415094,18,424
